Country,Start,End,n,c,low,high,b,ADF p,Shapiro p,LB(5) p,LB(10) p,LB2(5) p,LB2(10) p
Australia,1977,2025,49,0.03916579791989602,0.03237410920596829,0.045767294279936414,0.49697433221450416,0.0005322721518288901,0.5956323130092648,0.9590176992489903,0.4115537766429753,0.6579898632040375,0.46236031896156105
Austria,1989,2025,37,-0.011720475092564527,-0.025311165261950316,9.089176297681636e-05,0.34818268714162137,0.0021381969925041207,0.03924273317550847,0.713362140890808,0.40245507876024994,0.7146374718287161,0.8834762381593526
Belgium,1977,2025,49,0.04342904280470638,-0.22172771708143568,0.2635668331274175,0.8988229475644953,0.1417990323621678,0.26669570048870445,0.46657503109543463,0.570464723419051,0.7380028309483493,0.6532825836928227
Canada,1979,2025,47,0.018949976506633277,-0.042636734394396233,0.046551585957754674,0.8517411502512183,0.2889020867300223,0.2035039447414006,0.4790849767587019,0.03263661929465076,0.8287895112925405,0.004568236753873199
Denmark,1991,2025,35,0.0002890422976421512,-0.009466947336315812,0.01014131453008465,0.04256525997816163,3.1492600515754565e-06,0.2611489411947129,0.488555629153948,0.3601237685686753,0.27305631001601893,0.6630794716992833
Finland,1990,2025,36,-0.00455314368606923,-0.054907566437530454,0.03386699543646491,0.6645528841593022,0.020511662542694428,0.08247784686226886,0.1494149886650842,0.021070181401563144,0.9900104958408394,0.7506526709225834
France,1977,2025,49,0.03574327697172366,-0.0076262881608347875,0.05778892553418983,0.7702925993186761,0.03469349965781878,0.646801025252151,0.5877309370546009,0.3869720818570979,0.6647885318229144,0.22871756888583591
Germany,1977,2025,49,0.036582168845148144,0.008666761963164607,0.05915565560999293,0.7575826311220092,0.0942717852237352,0.8072467598996185,0.5043223078537953,0.8339450502106655,0.7273006075492914,0.870924535198998
Hong Kong,1977,2025,49,0.03728358458538408,0.02773975767055851,0.046184899748328546,0.4438755391710505,0.0008657555029404344,0.09280487496609133,0.5197646623364862,0.288023361128926,0.9922743945898931,0.9991415685432257
Ireland,1993,2025,33,0.017043519137267846,-0.048642191876873644,0.04665022465486175,0.6046057636791867,0.12247840822122846,0.3667082934481348,0.9823367747668521,0.645151817753852,0.2911125591467678,0.20693463754716243
Italy,1977,2025,49,0.014628380848285216,-0.002289020761641858,0.029237619400181745,0.6014613892380472,0.0016627458135433676,0.8594632048400497,0.7388280691637258,0.5320414492752532,0.40210754385948383,0.5341711249993935
Japan,1977,2025,49,-0.021932366555617637,-0.12037641732353407,0.01450584796667543,0.866702186824551,0.02757418089260491,0.08522203142850368,0.9769815644220388,0.047259763420230236,0.8253657785504673,0.09071369828399263
Netherlands,1977,2025,49,0.051917096226748186,0.028308907214642333,0.0688492818239895,0.6820125919679425,0.024403809110544513,0.4001906730780275,0.8789256706400679,0.8154312875113505,0.9332256581490261,0.7845489133337598
New Zealand,1990,2025,36,0.05256999819144337,0.03463677056971323,0.07047498206076233,0.5573431112161749,0.015021112730066934,0.00024088890270683612,0.9978465507698413,0.908101582411542,0.8667591133868191,0.6742529332083583
Norway,1977,2025,49,0.015427053088581994,-0.021123682260132157,0.04013331881537411,0.7269585876887042,0.013247647116234352,0.8970990378481405,0.20462180537703326,0.2323599912113677,0.3156921403973758,0.6237380044240717
Singapore,1977,2025,49,0.0026627133440217,-0.02137854385381457,0.022554271039306857,0.6581613603350878,0.0014574212826536476,0.0003209276677034124,0.7127438337618017,0.23466709019496293,0.8458109446077726,0.46939929571102723
Spain,1977,2025,49,0.04889795557550591,-0.08260712118732881,0.13989042244453143,0.8602100770169063,0.2850880049271761,0.8824262954764412,0.07391012856861398,0.11707645403872549,0.5921854703857627,0.45062568036051587
Sweden,1977,2025,49,0.022121210739517685,-0.003320299188778931,0.042571302927189573,0.6780295212891281,0.01161490043629615,0.009436582583492626,0.6221177989779694,0.18193462260435947,0.7301835516523619,0.9532447788837987
Switzerland,1977,2025,49,0.008951207202660988,-0.055456989933644514,0.05031136533582739,0.8501492023156922,0.22125342710436335,0.6069840032852158,0.39545550039949495,0.8633503516384549,0.007515466409288831,0.07454338522182047
United Kingdom,1977,2025,49,0.03977469100248847,0.010258038065108378,0.0560304565033794,0.7815267921793498,0.15188825118002064,0.5241409396596114,0.9909416273874863,0.8354297713725497,0.7623577377092401,0.9477436204951359
