       Mkt   High    Low   High    Low   High    Low   High    Low   Zero
1975  30.85  31.93  25.36  38.39  24.86  32.75  30.62  25.96  29.09   5.15
1976   0.03  -1.60  -2.99   6.03  -2.96   4.46  -2.71  -2.55   1.38   9.29
1977  13.39  20.50   7.40  17.80   8.94  21.06   9.38  25.04   5.85  23.66
1978  27.47  34.87  25.51  30.99  26.07  33.89  24.01  29.46  29.64  47.72
1979   4.89   4.40   5.35   2.87   5.47  -3.19   2.38  -1.16   6.11  28.81
1980  17.99  11.58  20.92  18.65  22.03  14.39  20.33  11.94  21.43   8.84
1981  -5.46   3.13 -10.04  -0.78  -4.97  -1.16  -9.03  -2.68  -4.34 -11.42
1982  -6.02  -6.26  -4.23  -7.09  -5.94  -8.10  -4.49 -10.81  -0.98 -13.72
1983  19.83  25.74  16.67  20.64  17.73  25.64  15.02  20.16  19.01  36.97
1984   3.33   2.94  -2.26   5.31  -2.91  -0.23  -3.58   6.63  -7.55  -9.86
1985  48.70  46.42  50.04  43.44  48.41  49.36  39.12  50.60  44.76  83.30
1986  63.27  57.04  67.37  56.79  58.68  67.25  63.71  73.48  59.51  52.79
1987  23.38  30.73  21.34  23.85  21.64  18.97  15.29  27.84  20.43  43.33
1988  22.38  34.63  14.68  31.67  13.15  33.56   0.49  39.18  11.03  61.74
1989   9.29  15.55   6.10  11.67   7.91   6.20  12.01  10.80   5.26  21.49
1990 -23.83 -23.84 -25.26 -23.99 -24.88 -23.02 -24.35 -24.65 -23.15 -30.59
1991   9.39   6.87   9.24   7.71   7.11   6.53   9.65   8.08  10.65  12.45
1992 -15.07 -13.13 -14.79 -11.98 -17.34 -12.75 -14.79 -14.78 -15.39 -20.07
1993  28.17  42.70  20.88  35.17  24.61  39.98  18.56  35.26  23.19  26.47
1994   6.86  13.12   4.53   4.68   6.96  12.66   9.33   6.63   5.33  18.46
1995   8.62   7.75  11.23  13.27   9.91   6.75   8.86   6.51  11.57  -4.46
1996   5.31   7.73   3.60  10.12   1.27   8.25   5.20   4.60   3.15  -6.04
1997   1.62   0.25   2.92   4.94  -1.74   2.85   3.51   2.77   2.56  -7.90
1998  17.63  16.66  21.18   9.89  22.59  20.06  23.97  16.77  22.47  39.39
1999  29.83  28.70  28.73  23.72  33.47  37.13  33.04  14.28  32.53  56.52
2000 -14.84  -0.45 -21.72   0.45 -22.50   0.46 -24.77   2.74 -23.18 -20.37
2001 -22.54 -16.86 -24.86  -9.53 -27.93 -13.52 -26.68 -11.41 -27.55 -35.90
2002 -15.61 -17.11 -15.98  -7.86 -20.67  -8.49 -19.93  -9.88 -18.42 -27.50
2003  37.31  66.08  30.99  41.73  33.96  41.89  32.36  44.14  32.68  67.54
2004  18.10  26.86  13.63  21.96  14.35  23.18  12.25  22.82  14.72  21.92
2005  11.70  12.04  10.65  11.66  13.45  11.02  12.05   9.05  14.29  20.96
2006  23.20  28.74  20.56  25.61  22.00  24.94  20.50  25.97  21.84  24.42
2007   9.19   4.88  14.22   6.99  12.05  17.08  11.00   5.53  16.75   4.63
2008 -44.61 -47.05 -44.49 -48.26 -44.02 -45.05 -44.12 -44.82 -44.19 -51.91
2009  29.23  47.93  16.48  49.10  12.49  46.81  17.59  44.20  22.08  39.42
2010   8.73  10.44  10.91   8.15  10.61  10.25  12.74   6.55  12.61  16.60
2011 -15.47 -20.26 -11.52 -13.89 -17.63 -14.51 -17.22 -10.67 -17.70 -25.79
2012  13.38  15.82  13.34  17.25  13.93  10.47  15.26  11.16  15.63  13.86
2013  18.85  18.75  20.00  17.82  20.78  17.94  18.33  19.30  18.36  30.17
2014  -7.02  -8.74  -6.29  -8.06  -7.39  -8.58  -6.69  -6.43  -6.65 -10.59
2015  -3.33  -7.33   2.13  -7.98  -0.98  -7.37   1.98  -7.82   3.90  -3.25
2016  -0.13   3.89  -3.61   3.15  -2.61   4.30  -3.53   3.71  -0.66  -4.27
2017  23.12  22.46  24.36  22.67  27.92  21.51  26.61  17.43  29.07  25.09
2018 -16.32 -18.79 -13.85 -17.70 -14.49 -15.46 -13.40 -16.63 -14.65 -22.12
2019  18.00  12.26  26.40  15.76  24.59  13.90  25.66  13.34  23.23  16.52
2020   7.62  -6.41  21.10  -1.97  17.86  -1.61  18.78  -5.75  21.13  37.62
2021   9.61  14.64   8.14  14.15  11.62  14.33   8.58  11.31  11.75  -3.57
2022 -18.34 -10.07 -28.69 -12.80 -27.81 -10.66 -26.70  -9.01 -24.50 -35.97
2023  12.12  14.78  11.22  15.53  10.27  14.24  11.95  11.41  12.25   7.53
2024   0.70   2.41  -0.15   0.16   2.79  -1.64   1.27   0.07   2.61  -1.12
2025  28.13  41.91  18.82  38.63  17.70  36.77  16.46  35.64  20.99  37.07

