        Mkt   High    Low   High    Low   High    Low   High    Low   Zero
1975  35.95  38.36  29.16  44.39  29.02  39.54  34.41  33.13  32.38   6.90
1976   4.01   3.59   0.10  11.13   0.32   9.47   0.54   3.67   4.01  11.06
1977  18.25  26.96  11.11  24.02  13.14  27.49  13.17  33.04   8.98  24.71
1978  32.67  40.72  29.68  37.23  30.37  40.06  28.26  36.99  33.09  48.47
1979   9.46   9.30   9.04   8.05   9.53   2.28   6.19   5.20   9.36  30.15
1980  22.92  17.71  24.84  24.58  25.91  20.65  24.31  19.22  24.72   9.72
1981  -1.77   7.83  -7.19   3.81  -2.12   3.69  -6.31   2.91  -1.98 -10.93
1982  -2.64  -2.38  -1.67  -2.53  -3.45  -3.52  -1.99  -5.76   1.18 -12.87
1983  23.34  30.27  19.17  25.40  20.25  30.76  17.54  25.94  21.10  37.82
1984   6.17   6.62  -0.30   9.14  -0.91   3.66  -1.61  11.24  -5.90  -9.66
1985  52.32  51.09  52.70  48.38  50.79  54.58  41.71  56.45  46.80  84.36
1986  66.29  61.08  69.61  60.96  60.78  71.35  65.90  78.35  61.22  53.80
1987  25.83  34.09  23.03  27.14  23.29  22.41  17.03  31.69  21.73  43.58
1988  24.48  37.56  16.16  34.38  14.58  36.39   1.91  42.38  12.22  62.29
1989  11.06  17.86   7.40  13.89   9.26   8.51  13.33  13.41   6.26  22.27
1990 -21.82 -21.33 -23.80 -21.43 -23.50 -20.38 -22.85 -21.64 -22.03 -29.64
1991  12.09  10.31  11.21  11.12   9.08   9.94  11.68  12.11  12.23  13.63
1992 -12.87 -10.26 -13.16  -9.04 -15.63 -10.03 -13.17 -11.40 -14.07 -19.29
1993  30.63  45.48  22.80  38.35  26.58  42.99  20.50  38.93  24.71  26.88
1994   9.06  15.62   6.42   7.37   8.80  15.18  11.04   9.98   6.67  19.20
1995  10.86  10.35  13.04  16.09  11.75   9.40  10.56   9.90  12.97  -3.74
1996   7.53  10.43   5.34  12.96   2.82  11.11   6.77   8.08   4.46  -5.61
1997   3.56   2.65   4.42   7.52  -0.40   5.37   4.88   5.89   3.71  -7.14
1998  19.77  19.65  22.92  12.91  24.30  23.18  25.57  20.37  23.86  39.92
1999  31.57  31.50  30.14  26.59  34.83  39.89  34.31  17.58  33.71  56.98
2000 -13.48   1.92 -20.69   3.54 -21.56   3.15 -23.91   6.09 -22.32 -19.89
2001 -20.97 -14.42 -23.63  -6.72 -26.83 -10.72 -25.75  -7.97 -26.66 -35.68
2002 -13.37 -14.72 -14.00  -4.44 -19.10  -5.78 -18.50  -5.96 -17.12 -27.25
2003  40.43  68.83  33.87  45.92  36.49  45.73  34.48  48.73  34.60  68.15
2004  20.89  29.77  16.12  25.50  16.35  26.59  14.20  27.32  16.40  22.67
2005  14.09  14.46  12.72  14.59  15.31  13.82  13.85  12.39  15.88  21.81
2006  25.99  31.84  22.85  29.09  23.88  28.41  22.49  29.95  23.32  24.88
2007  12.29   7.93  17.06  10.36  14.29  20.83  13.28   9.56  18.72   6.81
2008 -42.66 -44.78 -42.95 -46.04 -42.57 -42.67 -42.73 -41.57 -43.12 -51.33
2009  33.71  52.66  20.27  54.08  15.90  51.85  21.15  50.25  24.77  40.58
2010  11.92  13.95  13.87  11.84  13.27  13.93  15.32  11.69  14.48  17.69
2011 -12.60 -17.15  -9.16  -9.98 -15.44 -10.89 -15.07  -5.78 -16.01 -24.91
2012  17.38  20.10  16.83  21.79  17.17  14.88  18.42  17.07  18.13  15.45
2013  22.58  22.84  23.15  22.19  23.77  22.17  21.33  25.13  20.62  31.14
2014  -3.96  -5.18  -3.92  -4.40  -5.24  -5.07  -4.06  -1.68  -5.03  -9.44
2015  -0.51  -4.24   4.50  -4.52   1.35  -4.10   4.22  -3.55   5.54  -2.16
2016   3.07   7.86  -1.27   7.17  -0.33   8.23  -1.19   8.78   0.94  -3.33
2017  26.77  26.74  27.20  27.20  30.70  25.68  29.51  22.84  31.07  26.04
2018 -13.74 -15.78 -11.90 -14.55 -12.49 -12.38 -11.41 -12.59 -13.28 -21.58
2019  21.98  17.09  29.11  20.78  27.57  18.57  28.44  19.29  25.34  17.81
2020  10.41  -3.26  23.01   1.44  19.80   1.81  20.72  -1.65  22.62  38.07
2021  12.48  18.84   9.58  18.69  13.33  18.60  10.00  16.62  13.01  -3.34
2022 -15.66  -5.85 -27.28  -8.26 -26.35  -6.22 -25.42  -3.79 -23.38 -35.62
2023  15.83  20.27  13.31  21.51  12.34  19.88  13.88  18.31  13.90   8.26
2024   3.89   7.07   1.71   4.75   4.81   2.63   3.20   5.87   4.15  -0.48
2025  32.17  48.38  21.03  45.09  19.78  42.88  18.47  43.26  22.78  38.05
