Year,Price-weighted Capital Appreciation,Price-weighted Appreciation Index,Low dividend return ,High dividend return ,Total return with low dividends,Total return with high dividends,Equal-weighted capital appreciation returns,Equal-weighted capital appreciation return index,Total number of securities  in index,Insurance,Transportation,Banks,Mining,Utility,Industrials and other
1814,,1,,,,,,1,,,,,,,
1815,-0.0664607563509541,0.933539243649046,,,,,-0.0665378189453443,0.933462181054656,8,3,0,5,0,0,0
1816,-0.0193003618817849,0.915521598415772,,,,,-0.0169314681910602,0.917657295828571,8,3,0,5,0,0,0
1817,0.194341943419434,1.09344584509436,,,,,0.193702887865387,1.09541016410131,8,3,0,5,0,0,0
1818,-0.0375720063547309,1.05236289085392,,,,,0.231619775097989,1.3491288199505,13,7,0,6,0,0,0
1819,-0.0882498863256053,0.959491985362776,,,,,-0.0744952632343269,1.24862511337127,15,9,0,6,0,0,0
1820,0.0958910308722685,1.05149866095289,,,,,0.101279888399,1.37508572550571,15,9,0,6,0,0,0
1821,0.0333916487503971,1.08660993490094,,,,,0.0347591750887122,1.42288257100055,15,9,0,6,0,0,0
1822,-0.128464748961038,0.947018862395324,,,,,-0.0654083208154646,1.32981421131381,6,0,0,0,0,0,0
1823,0.0528892125757814,0.997105944321825,,,,,0.062524402548833,1.41296005037715,21,14,0,6,0,1,0
1824,0.0370228316067265,1.03402162979252,,,,,0.0392491251891935,1.46841749628174,33,22,0,10,0,1,0
1825,-0.129914402444072,0.899687327643778,0.0253401564050765,0.050826918784664,-0.104574246038995,-0.0790874836594077,-0.137312210280442,1.26678584425282,32,22,1,9,0,0,0
1826,-0.0121574999401887,0.88874937901176,0.0202872877875476,0.049365855358157,0.00812978784735896,0.0372083554179683,0.0107405345035259,1.28039180132159,34,20,1,11,0,1,1
1827,-0.0624291178117664,0.833265539324301,0.0296630458678022,0.0617983870834612,-0.0327660719439642,-0.000630730728305218,-0.0685651006636938,1.19260160857501,32,19,1,9,0,0,3
1828,-0.179516647831552,0.683680502951252,0.0282037613279942,0.0585472022823731,-0.151312886503558,-0.120969445549179,-0.215193985793031,0.935960914962574,29,15,1,10,0,1,2
1829,0.103315686761647,0.754315423639208,0.0321241474745478,0.0698879905406525,0.135439834236195,0.1732036773023,0.120952648892116,1.04916786688679,30,18,1,9,0,0,2
1830,0.273110020817526,0.960326524692293,0.0282862315196621,0.055688254129935,0.301396252337188,0.328798274947461,0.293520297342513,1.35711993113761,30,17,1,10,0,0,2
1831,-0.170475998142292,0.796613901852857,0.0170141974024992,0.0444278097276415,-0.153461800739793,-0.12604818841465,-0.0255258184680269,1.32247833413605,38,17,4,15,0,0,2
1832,0.0860427411335867,0.865156745593398,0.0301987343177529,0.0593052883993005,0.116241475451339,0.145348029532887,0.103439178518028,1.45927440662697,40,18,4,16,0,0,2
1833,-0.0609349712687552,0.812438444157695,0.0293838527941656,0.0554254318027543,-0.0315511184745897,-0.00550953946600097,-0.0655724253017874,1.36358624460361,49,22,7,16,0,1,3
1834,0.0883998695541317,0.884257896641997,0.0290600080140643,0.0588430314826548,0.117459877568196,0.147242901036787,0.184221559579427,1.61478822920554,47,19,6,18,0,1,3
1835,-0.0673879422286349,0.824669576587872,0.0282606665585389,0.0592932489555211,-0.039127275670096,-0.00809469327311385,-0.0160347725978041,1.58889546715662,58,23,8,23,0,1,3
1836,0.0432741924971372,0.860356486591668,0.0159183938665454,0.139302691029161,0.0591925863636826,0.182576883526298,0.0583243423951045,1.68156675041309,46,13,8,22,0,1,2
1837,-0.180234169153612,0.705290850054898,0.021106541475906,0.0708387714735547,-0.159127627677706,-0.109395397680057,-0.166506709478889,1.4015746040327,45,16,7,19,0,1,2
1838,0.121987261620786,0.791327349499291,0.0627058114187654,0.117088546222817,0.184693073039551,0.239075807843603,0.150892304059238,1.61306142534611,49,18,6,22,0,1,2
1839,-0.266171762752521,0.580698353968785,0.0527922131485606,0.100078763306983,-0.21337954960396,-0.166092999445538,-0.255932603388226,1.20022641533216,58,21,6,28,0,1,2
1840,0.0300763924335563,0.59816366554827,0.0353118623014817,0.0853248039821519,0.065388254735038,0.115401196415708,0.173015296025323,1.40788394387827,56,20,6,27,0,1,2
1841,-0.235244256172056,0.457449098977217,0.048682348779625,0.100527063335822,-0.186561907392431,-0.134717192836234,-0.286512722453897,1.00450728221857,47,12,7,25,0,1,2
1842,0.0234436517936523,0.468173376366959,0.0576854032943072,0.116471565833876,0.0811290550879595,0.139915217627528,0.203753287716168,1.20917894350544,49,16,7,25,0,1,0
1843,0.391569539826385,0.651495809909934,0.0718332353084761,0.256198005240779,0.463402775134861,0.647767545067164,0.722968408195715,2.08337711951535,47,16,7,22,0,1,1
1844,0.0281481752042581,0.669834228112118,0.0684619761046842,0.117367832771504,0.0966101513089424,0.145516007975762,0.121058735167137,2.33558811848003,47,13,8,23,0,1,2
1845,-0.116128134887191,0.592047628517856,0.0415765214937447,0.0696890422973403,-0.0745516133934467,-0.0464390925898511,-0.109269532797051,2.08037949596737,36,8,7,18,0,1,2
1846,0.232063259424619,0.729440130926326,0.0336067213442689,0.0804400158748325,0.265669980768887,0.312503275299451,0.457952853585733,3.03309522268688,25,0,8,14,0,1,2
1847,0.076495278463071,0.785238856863674,0.0555230002929974,0.114080433295465,0.132018278756068,0.190575711758536,0.237943765455663,3.75480132095858,29,5,7,13,0,2,2
1848,0.0527756761826044,0.82668036849951,0.0517126334519573,0.0972077287738591,0.104488309634562,0.149983404956463,0.0533936508352271,3.95528387164549,11,1,3,7,0,0,0
1849,0.0780069880139198,0.891167214096394,0.0759836852207294,0.136759095915541,0.153990673234649,0.214766083929461,0.525058432249257,6.03203902039244,60,6,28,21,0,1,4
1850,0.104771415284174,0.984536064372128,0.0373047542004722,0.0941067672678256,0.142076169484647,0.198878182552,0.180921847032073,7.12336666133138,72,9,34,22,0,2,5
1851,-0.0578271171628617,0.927603182026618,0.0443507586821431,0.110396539368329,-0.0134763584807186,0.0525694222054673,-0.0225993316657543,6.96238333557518,76,7,31,29,3,0,6
1852,0.18073301863447,1.09525170520923,0.0452006381725484,0.100866418321557,0.225933656807019,0.281599436956028,0.583429149160033,11.0244407211758,85,6,33,30,8,0,8
1853,-0.0814501326055743,1.00604330858346,0.0411417573035204,0.0976838772802073,-0.0403083753020539,0.016233744674633,-0.134286777421452,9.54400410385527,120,11,42,36,15,2,14
1854,-0.203407179386361,0.801406876843972,0.0199256205051714,0.174210917851414,-0.18348155888119,-0.0291962615349477,-0.203487633266679,7.60191729687429,78,0,32,22,10,3,11
1855,0.162554708209072,0.931679337866088,0.020887579822781,0.0912075206498906,0.183442288031853,0.253762228858963,0.153966449908348,8.77235751557089,73,3,33,23,7,1,6
1856,0.02486497841043,0.954845524487572,0.0299947284882437,0.0956782971539828,0.0548597068986738,0.120543275564413,0.0349530572187879,9.07897822975631,71,4,33,24,5,1,4
1857,-0.242184826727449,0.723596426588069,0.0339471452916831,0.185789556243089,-0.208237681435766,-0.05639527048436,-0.123404051505166,7.95859553267717,81,5,31,33,5,1,6
1858,0.103822031872136,0.79872167785186,0.0283367601515682,0.105328622541366,0.132158792023704,0.209150654413501,1.37911161137722,18.9343870420472,82,2,33,34,4,0,9
1859,-0.00620158081537126,0.793768340817672,0.0286245967316332,0.122637989142692,0.0224230159162619,0.116436408327321,-0.0443622296996405,18.094415414866,65,1,28,30,2,0,4
1860,-0.039349267631406,0.762534137937501,0.0240845913000241,0.0534939372011441,-0.015264676331382,0.014144669569738,0.639302754033733,29.6622250222202,62,1,30,24,4,1,2
