Year,S,D,Source,Q,G,X
1825,2.4112042412962063,0.0830919336607534,Historical NYSE,,,
1826,2.3818900258768645,0.057880935854414714,Historical NYSE,0.011777858869660651,-0.3615595587826892,0.37333741765234985
1827,2.2331907328367273,0.08360167998101858,Historical NYSE,-0.027710652700179472,0.36767554484912024,-0.3953861975492997
1828,1.8322958185093905,0.07452644466045688,Historical NYSE,-0.15799326477004616,-0.1149095910686988,-0.04308367370134736
1829,2.02160071934918,0.06964737571909617,Historical NYSE,0.13219133621064194,-0.06770900288858517,0.1999003390992271
1830,2.57372013389536,0.06766249853924321,Historical NYSE,0.26741287154611615,-0.02891293086396196,0.2963258024100781
1831,2.1349626251306377,0.05181438441396381,Historical NYSE,-0.16292360047550414,-0.2668642884286454,0.10394068795314126
1832,2.3186606616146337,0.07628806044418393,Historical NYSE,0.11491267948607009,0.3868486422126831,-0.271935962726613
1833,2.177373140817154,0.08061641645018718,Historical NYSE,-0.02651487700175259,0.05518586249678492,-0.08170073949853751
1834,2.369852642436061,0.07486970925916009,Historical NYSE,0.11581238993902354,-0.07395291385553993,0.18976530379456347
1835,2.210153149477202,0.07924672054284634,Historical NYSE,-0.034538059299146884,0.05681663777883328,-0.09135469707798016
1836,2.305795742315832,0.041629305948959604,Historical NYSE,0.060257191734242044,-0.6437616415666758,0.7040188333009179
1837,1.8902125624616022,0.05758580788080107,Historical NYSE,-0.16872614742556324,0.3244717572126232,-0.49319790463818647
1838,2.120794416837501,0.14024777912999167,Historical NYSE,0.1791365659874895,0.8901345628128647,-0.7109979968253752
1839,1.55629882847216,0.13247868109634733,Historical NYSE,-0.22778584335589813,-0.056988974102310186,-0.17079686925358795
1840,1.6031066827811717,0.06502661818310482,Historical NYSE,0.06939476092488411,-0.711625038516448,0.7810197994413322
1841,1.2259850436258635,0.09234459982010777,Historical NYSE,-0.19557790972184458,0.3507305332093895,-0.5463084429312342
1842,1.2547266100928542,0.08368134672008845,Historical NYSE,0.08773617757821023,-0.0985111359093711,0.18624731348758133
1843,1.746039331414833,0.10664784672858328,Historical NYSE,0.3897194056273943,0.2425161607608901,0.1472032448665042
1844,1.795187152429021,0.14144285326007447,Historical NYSE,0.10359936833253802,0.28236351698260265,-0.17876414865006462
1845,1.58671541664399,0.08831519623180532,Historical NYSE,-0.06927783824309064,-0.4709835810636749,0.40170574282058424
1846,1.9549337680096874,0.06309613280744632,Historical NYSE,0.2404556349978702,-0.3362527096174426,0.5767083446153127
1847,2.1044769709704485,0.12843474563661783,Historical NYSE,0.13295012169063225,0.710761478354792,-0.5778113566641597
1848,2.2155421661241337,0.12877109476255036,Historical NYSE,0.10792554009539745,0.0026154096434187757,0.10531013045197868
1849,2.388369937321313,0.19919476864604765,Historical NYSE,0.15522002161100945,0.436246714049618,-0.28102669243860856
1850,2.638602835876642,0.10542493317125054,Historical NYSE,0.1388157310694209,-0.6362839172546988,0.7750996483241197
1851,2.486020040540143,0.13846902489289697,Historical NYSE,-0.005363312873979842,0.27264748789806226,-0.2780108007720421
1852,2.9353259468527555,0.13296175760971385,Historical NYSE,0.21043660059304037,-0.04058510352592193,0.2510217041189623
1853,2.6962432592410237,0.1428948994085965,Historical NYSE,-0.03331796140564114,0.07204784076093906,-0.1053658021665802
1854,2.1478080229393077,0.06356945419304531,Historical NYSE,-0.1982438044849758,-0.8099763158758622,0.6117325113908864
